age,sex,inc_breast_cancer,inc_cirrhosis,inc_esophageal_cancer,inc_epilepsy,inc_injuries,inc_ischaemic_stroke,inc_aud,inc_liver_cancer,inc_ischemic_heart_disease,inc_pancreatitis
15,Female,6.4629958436e-06,6.97368518e-08,0.0,0.0004200968472312,0.2188380625147002,4.16326870392e-05,0.0047312015137679,2.801738019e-07,1.23917939824e-05,0.0001210782867987
16,Female,6.4629958436e-06,6.97368518e-08,0.0,0.0004200968472312,0.2188380625147002,4.16326870392e-05,0.0047312015137679,2.801738019e-07,1.23917939824e-05,0.0001210782867987
17,Female,6.4629958436e-06,6.97368518e-08,0.0,0.0004200968472312,0.2188380625147001,4.16326870392e-05,0.0047312015137679,2.801738019e-07,1.23917939824e-05,0.0001210782867987
18,Female,6.4629958436e-06,6.97368518e-08,0.0,0.0004200968472313,0.2188380625147002,4.163268703920001e-05,0.0047312015137679,2.801738019e-07,1.23917939824e-05,0.0001210782867987
19,Female,6.4629958436e-06,6.97368518e-08,0.0,0.0004200968472313,0.2188380625147002,4.163268703919999e-05,0.0047312015137679,2.801738019e-07,1.23917939824e-05,0.0001210782867987
20,Female,2.05411156723e-05,1.258471169e-06,4.492645753e-07,0.0003291710649854,0.177632524822785,5.192975773430001e-05,0.0104520487163606,4.880952304e-07,2.88564189095e-05,0.0002117045633821
21,Female,2.05411156723e-05,1.258471169e-06,4.492645753e-07,0.0003291710649854,0.177632524822785,5.19297577343e-05,0.0104520487163606,4.880952304e-07,2.885641890949999e-05,0.0002117045633821
22,Female,2.05411156723e-05,1.258471169e-06,4.492645753e-07,0.0003291710649853,0.177632524822785,5.192975773429999e-05,0.0104520487163606,4.880952304e-07,2.88564189095e-05,0.0002117045633821
23,Female,2.05411156723e-05,1.258471169e-06,4.492645753e-07,0.0003291710649854,0.177632524822785,5.192975773429998e-05,0.0104520487163606,4.880952304e-07,2.88564189095e-05,0.0002117045633821
24,Female,2.05411156723e-05,1.258471169e-06,4.492645753e-07,0.0003291710649854,0.177632524822785,5.19297577343e-05,0.0104520487163606,4.880952304e-07,2.88564189095e-05,0.0002117045633821
25,Female,9.1076410917e-05,4.3373339218e-06,1.1791753852e-06,0.0002852505474248,0.1462266248542214,6.94245588669e-05,0.0150432682132983,5.541862214e-07,3.4316790041e-05,0.0002651422357376
26,Female,9.1076410917e-05,4.3373339218e-06,1.1791753852e-06,0.0002852505474247,0.1462266248542214,6.942455886690001e-05,0.0150432682132983,5.541862214e-07,3.4316790041e-05,0.0002651422357376
27,Female,9.1076410917e-05,4.3373339218e-06,1.1791753852e-06,0.0002852505474248,0.1462266248542214,6.942455886689999e-05,0.0150432682132983,5.541862214e-07,3.4316790041e-05,0.0002651422357376
28,Female,9.1076410917e-05,4.3373339218e-06,1.1791753852e-06,0.0002852505474248,0.1462266248542214,6.94245588669e-05,0.0150432682132983,5.541862214e-07,3.431679004100001e-05,0.0002651422357376
29,Female,9.1076410917e-05,4.337333921799999e-06,1.1791753852e-06,0.0002852505474248,0.1462266248542214,6.942455886689999e-05,0.0150432682132983,5.541862214e-07,3.4316790041e-05,0.0002651422357376
